iter	RMSE
150	1437.726361
151	1437.718755
152	1436.392668
153	1435.632621
154	1434.27919
155	1434.277671
156	1433.8559
157	1433.847714
158	1432.369006
159	1431.191721
160	1430.500443
161	1428.217226
162	1427.041838
163	1426.619075
164	1426.611815
165	1424.293892
166	1423.496264
167	1422.753897
168	1420.464849
169	1419.379465
170	1417.883777
171	1417.194053
172	1417.01733
173	1416.036497
174	1414.970551
175	1413.526083
176	1410.04583
177	1408.110349
178	1406.375066
179	1405.638352
180	1405.633608
181	1404.670161
182	1404.591776
183	1403.182514
184	1403.168142
185	1402.331152
186	1401.21254
187	1399.948491
188	1399.94811
189	1399.944591
190	1399.077814
191	1398.127737
192	1395.463901
193	1395.088864
194	1395.022514
195	1393.860291
196	1393.341434
197	1392.194909
198	1390.776259
199	1390.465787
200	1389.101681
201	1388.755044
202	1388.754409
203	1388.100273
204	1387.027429
205	1385.670083
206	1384.954632
207	1383.147538
208	1382.07705
209	1381.628819
210	1380.946643
211	1379.975045
212	1379.439136
213	1378.174996
214	1376.699338
215	1376.695071
216	1375.580775
217	1374.181541
218	1374.180981
219	1371.711316
220	1370.38118
221	1369.52212
222	1369.220576
223	1367.483747
224	1365.829551
225	1365.287381
226	1363.913193
227	1361.518291
228	1361.517513
229	1360.780395
230	1359.17596
231	1359.142443
232	1357.980523
233	1357.361322
234	1355.03592
235	1355.035742
236	1355.032378
237	1352.997954
238	1352.124523
239	1350.63363
240	1348.407267
241	1347.839364
242	1346.972825
243	1345.606138
244	1344.229931
245	1343.560264
246	1342.204439
247	1340.67824
248	1339.408113
249	1338.037931
250	1337.323423
251	1336.842952
252	1336.219905
253	1335.327222
254	1333.997348
255	1333.617331
256	1332.988052
257	1332.456865
258	1331.623764
259	1331.081328
260	1329.566417
261	1329.085607
262	1328.52412
263	1327.893873
264	1326.957931
265	1326.363202
266	1325.575618
267	1324.573287
268	1323.267133
269	1322.499938
270	1321.200069
271	1320.151644
272	1318.41917
273	1317.817008
274	1317.434341
275	1316.56815
276	1315.759312
277	1314.537354
278	1313.731077
279	1313.32439
280	1312.504493
281	1311.8564
282	1311.638874
283	1311.630082
284	1310.864226
285	1310.656442
286	1309.591795
287	1308.410722
288	1307.831359
289	1307.031222
290	1306.760526
291	1306.108406
292	1304.60101
293	1304.041094
294	1302.527455
295	1301.6624
296	1300.962976
297	1299.653437
298	1299.248528
299	1298.314474
300	1298.060107
301	1296.864318
302	1295.92465
303	1295.860428
304	1294.735423
305	1293.809248
306	1292.822448
307	1292.557472
308	1291.406029
309	1291.406016
310	1290.923995
311	1290.567472
312	1288.580035
313	1288.224912
314	1286.368928
315	1285.320886
316	1284.451536
317	1283.5227
318	1282.842716
319	1281.43156
320	1280.666935
321	1279.121174
322	1278.298479
323	1276.799359
324	1276.61296
325	1275.805247
326	1275.032029
327	1274.258703
328	1273.88468
329	1273.605793
330	1273.098434
331	1272.106037
332	1271.347481
333	1270.892663
334	1270.407485
335	1269.785443
336	1269.126184
337	1268.371591
338	1267.053901
339	1266.061882
340	1265.354186
341	1264.633751
342	1263.52102
343	1263.053491
344	1262.622958
345	1261.508586
346	1260.966278
347	1260.036814
348	1259.792106
349	1259.115371
350	1258.708437
351	1258.558172
352	1257.66055
353	1257.105227
354	1256.048676
355	1255.487474
356	1254.819044
357	1254.472473
358	1254.392492
359	1254.230344
360	1254.107713
361	1253.720327
362	1253.072693
363	1252.572054
364	1252.170381
365	1251.839743
366	1251.67309
367	1250.69478
368	1250.113027
369	1249.863774
370	1248.746734
371	1248.209881
372	1247.660186
373	1247.063643
374	1245.87808
375	1245.310026
376	1244.905031
377	1244.62488
378	1243.158563
379	1242.990375
380	1242.755132
381	1241.906315
382	1240.734316
383	1240.085318
384	1239.825535
385	1238.914001
386	1238.189836
387	1237.432298
388	1236.582489
389	1236.14936
390	1235.348589
391	1235.062133
392	1234.494739
393	1233.782469
394	1233.510069
395	1232.746091
396	1231.800644
397	1231.039713
398	1230.395569
399	1229.904652
400	1227.66697
401	1226.666153
402	1226.207509
403	1225.835151
404	1224.967775
405	1224.234658
406	1223.965287
407	1223.52209
408	1222.112182
409	1221.454931
410	1221.237092
411	1220.734878
412	1220.409204
413	1220.371324
414	1219.444207
415	1218.286203
416	1217.745347
417	1216.71169
418	1215.96467
419	1215.575759
420	1214.787065
421	1213.752746
422	1213.400205
423	1213.339249
424	1212.735338
425	1212.202719
426	1211.482343
427	1211.032229
428	1210.916732
429	1210.631418
430	1209.638641
431	1209.363204
432	1209.081891
433	1208.554988
434	1208.038133
435	1207.303076
436	1206.368926
437	1205.923418
438	1204.300401
439	1204.017153
440	1203.155009
441	1202.534433
442	1201.894191
443	1201.227481
444	1200.741582
445	1200.354334
446	1200.136619
447	1199.830286
448	1199.455637
449	1198.828475
450	1198.030341
451	1197.305522
452	1196.375038
453	1195.933773
454	1195.428422
455	1194.896537
456	1193.714828
457	1192.803365
458	1192.195007
459	1191.589221
460	1191.490046
461	1191.059921
462	1190.469768
463	1190.469767
464	1190.255337
465	1190.021535
466	1189.29755
467	1188.948991
468	1188.074085
469	1187.47726
470	1187.364832
471	1187.081131
472	1186.572794
473	1186.313377
474	1185.501746
475	1184.661001
476	1184.442989
477	1184.029926
478	1183.428415
479	1182.937454
480	1182.138944
481	1181.843579
482	1181.707361
483	1181.486023
484	1181.002659
485	1180.762986
486	1180.274491
487	1179.624622
488	1179.274902
489	1178.894303
490	1178.647506
491	1178.211446
492	1177.471586
493	1176.956896
494	1176.148079
495	1175.349963
496	1174.85914
497	1174.405024
498	1173.430225
499	1172.98275
